Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Algorithm,Mean_Time_ms,Speedup,Rebuilds,StdDev_Time_ms,StdDev_Rebuilds,Iterations
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,500000,Sorted_X_Axis,Deterministic Grid,1257.05863,0.7237377506981599,20.0,12.67909,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,500000,Sorted_X_Axis,Randomized Grid,1736.89797,0.7237377506981599,21.0,56.38793,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,50000,Sorted_X_Axis,Deterministic Grid,344.20941,1.0074826223511315,22.0,16.51136,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,50000,Sorted_X_Axis,Randomized Grid,341.65295,1.0074826223511315,14.0,8.5535,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,100000,Sorted_X_Axis,Deterministic Grid,1111.48543,1.0371319375553476,17.0,76.00985,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,100000,Sorted_X_Axis,Randomized Grid,1071.69145,1.0371319375553476,22.0,106.94763,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,200000,Sorted_X_Axis,Deterministic Grid,3604.55302,1.0775799194696567,17.0,128.03851,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,200000,Sorted_X_Axis,Randomized Grid,3345.04472,1.0775799194696567,24.0,138.79426,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,350000,Sorted_X_Axis,Deterministic Grid,8417.39984,1.0560526376370472,19.0,205.33389,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,350000,Sorted_X_Axis,Randomized Grid,7970.62527,1.0560526376370472,21.0,364.98871,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,500000,Sorted_X_Axis,Deterministic Grid,12464.701,1.0102350605027717,23.0,331.08798,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,500000,Sorted_X_Axis,Randomized Grid,12338.41656,1.0102350605027717,23.0,292.94579,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,50000,Sorted_X_Axis,Deterministic Grid,4019.71313,0.8926456310992769,15.0,264.74971,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,50000,Sorted_X_Axis,Randomized Grid,4503.14547,0.8926456310992769,20.0,204.24912,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,100000,Sorted_X_Axis,Deterministic Grid,11590.53912,0.8626212447633232,16.0,1279.41366,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,100000,Sorted_X_Axis,Randomized Grid,13436.41742,0.8626212447633232,22.0,1007.65015,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,200000,Sorted_X_Axis,Deterministic Grid,41006.08994,0.9379106436992153,15.0,2364.8883,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,200000,Sorted_X_Axis,Randomized Grid,43720.67874,0.9379106436992153,30.0,1872.16308,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,350000,Sorted_X_Axis,Deterministic Grid,86873.02749,1.2746362400743991,21.0,14984.37937,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,350000,Sorted_X_Axis,Randomized Grid,68155.15263,1.2746362400743991,28.0,2533.29927,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,500000,Sorted_X_Axis,Deterministic Grid,126807.5255,1.164017460821466,17.0,21999.2315,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,500000,Sorted_X_Axis,Randomized Grid,108939.53894,1.164017460821466,28.0,697.35177,0.0,5
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,50000,Sorted_X_Axis,Deterministic Grid,97.51502,0.7337518008950995,10.0,1.56418,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,50000,Sorted_X_Axis,Randomized Grid,132.89919,0.7337518008950995,21.2,18.41567,3.99444,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,100000,Sorted_X_Axis,Deterministic Grid,226.29778,0.5953152152644633,11.0,8.22616,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,100000,Sorted_X_Axis,Randomized Grid,380.13102,0.5953152152644633,21.4,75.93787,5.08156,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,200000,Sorted_X_Axis,Deterministic Grid,824.08347,1.1320757026418033,15.0,31.52432,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,200000,Sorted_X_Axis,Randomized Grid,727.94025,1.1320757026418033,22.0,81.02695,6.51494,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,350000,Sorted_X_Axis,Deterministic Grid,1447.41406,0.9392228283671247,18.0,50.19089,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,350000,Sorted_X_Axis,Randomized Grid,1541.07632,0.9392228283671247,24.7,193.38494,4.94526,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,500000,Sorted_X_Axis,Deterministic Grid,2062.12971,0.8220594663693067,16.0,55.67852,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,500000,Sorted_X_Axis,Randomized Grid,2508.49214,0.8220594663693067,23.5,426.48394,5.87367,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,50000,Sorted_X_Axis,Deterministic Grid,264.49785,0.9032604929499689,17.0,7.35796,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,50000,Sorted_X_Axis,Randomized Grid,292.82566,0.9032604929499689,19.4,45.30934,4.22164,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,100000,Sorted_X_Axis,Deterministic Grid,582.03294,0.8916074568908066,13.0,31.22341,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,100000,Sorted_X_Axis,Randomized Grid,652.79057,0.8916074568908066,15.6,69.05907,3.50238,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,200000,Sorted_X_Axis,Deterministic Grid,1834.82869,0.9086049115636401,11.0,106.88453,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,200000,Sorted_X_Axis,Randomized Grid,2019.39112,0.9086049115636401,21.3,280.32578,4.49815,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,350000,Sorted_X_Axis,Deterministic Grid,3442.43233,0.9775782865476325,19.0,47.27519,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,350000,Sorted_X_Axis,Randomized Grid,3521.38788,0.9775782865476325,20.6,355.07775,4.67143,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,500000,Sorted_X_Axis,Deterministic Grid,4189.5034,0.8148269720364816,20.0,117.76082,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,500000,Sorted_X_Axis,Randomized Grid,5141.58655,0.8148269720364816,25.4,636.99221,6.44981,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,50000,Sorted_X_Axis,Deterministic Grid,2706.85876,1.0097602467587392,22.0,124.23715,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,50000,Sorted_X_Axis,Randomized Grid,2680.69452,1.0097602467587392,18.7,136.11096,3.97352,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,100000,Sorted_X_Axis,Deterministic Grid,6520.19364,1.0179958252512864,17.0,1341.19035,0.0,10
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,100000,Sorted_X_Axis,Randomized Grid,6404.93161,1.0179958252512864,18.9,556.37329,3.78447,10
